USA		Japan	United Kingdom	France	Italy	Canada	Korea	Australia	Spain	Mexico	Netherlands	Switzerland	Germany	Sweden	Belgium	Austria	Norway
Q2-1961	1.858876	2.131382	0.425664	1.600329	2.115493	2.514856	3.905148	-1.098971	4.44113	0.954347	-1.39306	1.355571	-0.539334	0.363512	1.167163	-0.349959	1.621275
Q3-1961	1.667385	1.918909	-0.512697	1.592219	2.330642	2.415507	-1.617494	-0.712955	2.042475	1.007542	0.117012	1.242126	2.052513	1.386708	1.275744	1.256452	1.174078
Q4-1961	2.026735	4.587968	-0.174807	1.699022	1.913145	1.399872	1.61344	1.140205	2.821708	1.057329	1.605199	1.958044	0.455605	0.50326	1.381074	0.227988	0.743972
Q1-1962	1.801132	1.342398	0.457113	1.800279	1.479935	2.647855	1.603239	2.804784	2.365594	1.038747	2.720945	0.575396	1.473352	0.27719	1.346942	1.46331	0.325072
Q2-1962	1.077485	1.398082	0.945532	1.615682	1.076641	0.726757	-1.988201	1.913176	2.326176	1.01864	2.087974	1.155195	1.042344	1.761047	1.322268	-0.021812	0.498362
Q3-1962	0.952559	1.221843	0.607007	1.439785	0.60037	1.312234	3.150499	0.815006	2.449013	1.402494	3.147562	1.370741	2.39521	2.44721	1.116325	0.839158	0.669292
Q4-1962	0.388066	2.089625	-0.346998	1.251797	1.501587	2.032941	3.153024	1.79396	0.268262	1.79142	-0.341937	0.645239	-0.216174	0.824052	0.896895	0.090983	0.837129
Q1-1963	1.112741	1.3667	0.51448	-1.665799	0.663828	0.599816	5.399137	2.305175	5.752953	1.750783	-6.272858	-0.905599	-3.498026	-1.027403	0.881896	0.367611	1.001036
Q2-1963	1.303616	2.943448	4.300254	4.465475	2.741399	1.466137	-2.108172	-1.30833	0.08289	1.701509	8.940364	3.835381	4.484412	3.823815	0.866731	2.915281	1.05742
Q3-1963	1.952082	2.93239	0.458738	3.298802	1.641305	0.768516	3.499928	4.102224	2.157735	2.353728	2.402534	2.228738	3.469248	1.854547	1.449747	1.087485	1.111931
Q4-1963	0.71369	3.445524	2.236492	0.311287	1.028412	3.140917	0.198178	2.156472	1.861636	2.998675	2.105749	1.086478	0.483966	0.877163	2.0445	2.038743	1.16463
Q1-1964	2.162865	3.189414	0.606619	1.882604	1.482283	2.478572	5.455934	-0.155135	0.565485	2.887235	1.337372	0.124763	1.375907	2.477562	1.987689	1.006058	1.21533
Q2-1964	1.18915	2.412495	1.742805	0.958921	-1.011877	0.344275	-2.567261	2.469376	1.648014	2.799082	0.864345	3.526249	1.221775	0.541844	1.943286	1.447899	1.28977
Q3-1964	1.35831	1.544361	0.397118	1.226255	-0.168904	1.051459	6.677766	0.617359	0.751293	2.10163	1.889447	-0.546061	1.039094	1.99575	1.344338	0.900528	1.36121
Q4-1964	0.354592	1.250663	1.500654	0.903739	-0.418483	0.5277	4.240682	2.840458	2.17416	1.422457	1.04979	-0.611582	1.360336	1.07015	0.747162	2.854332	1.429614
Q1-1965	2.466339	0.813162	-0.276175	0.221995	1.350147	3.141302	0.64105	0.837368	2.128163	1.390494	2.887565	2.485869	1.636564	1.970919	0.733465	-1.031716	1.494926
Q2-1965	1.367101	1.248848	0.120496	2.488095	1.993829	0.93809	0.665185	1.568704	0.42662	1.360647	-1.022038	0.120877	1.578071	-0.739413	0.724151	0.528129	1.241229
Q3-1965	2.031018	2.265972	0.822506	1.445019	1.332058	1.350915	-0.933679	-0.291266	1.018033	1.475944	0.899899	1.059563	0.665876	-0.102962	0.736433	2.021288	0.997207
Q4-1965	2.358348	1.55391	0.610693	1.392214	1.502345	2.459163	2.630098	0.243431	2.989391	1.586577	2.673001	-0.261584	0.598452	1.989429	0.745097	0.449598	0.760749
Q1-1966	2.469376	2.676418	0.169773	0.902206	0.967116	1.912266	5.484614	-0.290129	-0.680518	1.545695	-2.721159	-1.346317	1.815921	1.383376	0.732866	3.196666	0.530171
Q2-1966	0.409482	3.912583	0.583709	1.512522	1.424291	2.105951	6.624464	1.370267	5.167526	1.512979	2.951839	5.130424	0.307485	-0.659782	0.722237	-0.12344	0.945991
Q3-1966	0.712356	2.431442	0.330497	1.140425	2.825008	-0.038364	-1.903791	2.828674	1.983691	1.45355	2.051649	-1.256226	0.122677	-2.560285	0.867684	0.27664	1.351787
Q4-1966	0.857348	1.998277	-0.417596	0.545947	0.479192	1.206478	1.843725	0.652976	0.270897	1.384758	0.328501	1.150618	-1.56154	5.066972	1.01504	0.889976	1.742888
Q1-1967	0.918055	2.650178	1.360274	1.71364	1.99507	-0.231937	2.663697	3.903434	0.275493	1.353178	1.364119	2.80519	-0.497729	1.060738	0.99532	0.876897	2.115153
